23.wav,السلام علیکم میرا نام محمد سلیمان ہے اور اج میں اپ لوگوں کو لیس کے بارے میں بتاؤں گا لیس جو ہے کسی کو پسند ہے یا کسی کو نہیں پسند کوئی کالج ہے کوئی نہیں کھاتا میں پرسنلی کبھی جو میرا دل کرے تو میں کھا لیتا ہوں ہفتے میں 10 دن میں ایک بار جب میرا دل نہیں کرتا تو میں بالکل بھی ورڈ کرتا ہوں اور کافی لوگ ہیں جو لے اس کو پسند کرتے ہیں بٹ میں پرسنلی لیٹس کو اتنا خاص پسند نہیں کرتا ٹیسٹ بھی اچھا ہے کبھی کبھار اچھا ہو جاتا ہے کبھی ان کا ٹیسٹ جو ہے وہ تھوڑا سا تبدیل ہو کے عجیب سا ٹریس کرنی ہے وہ ملتا ہے لیکن اوور الحس ٹھیک ہے اگر اپ کو اچھا لگے تو اپ کرائے گا تو اپ نہ کریں,Transcribed,44.76,137,0
32.wav,کافی حد تک گیم ہے میں نے بہت بڑا ہے جب بھی خیر بہت اچھا لگا ماشاء اللہ کمپنی کے بارے میں سب سے اچھی کمپنی ہے,Transcribed,31.061,27,1
35.wav,بہت اچھے لگے میں تو بہت لائک کرتا ہوں کھاتا ہوں اور اس میں اور بہت ساری کوالٹیز ہیں اس کے ساتھ لیبر ہیں تو اپ ہی ٹرائی کریں اس کو سبسکرائب کریں تاکہ بہت اچھی ہے اور میرے سے بہت لائٹ کرتا ہوں تو اپ انشاءاللہ اپ بھی بہت اچھے لگے گا اپ کے ساتھ کھا کے دیکھیں اور اس کے بہت سارے پلیٹ میں نے اور بہت,Transcribed,28.69,69,1
39.wav,پیپسی جو ہے نا وہ کبھی کبھار جب وہ سچویشن پر ڈیپینڈ کرتا ہے کہ کون سے اکثر بندہ کھانا جو ہے وہ کھا لیتا ہے تو یہ ہوتا ہے کہ مریضوں میں تھوڑا بوجھ بن جاتا ہے جو ہمارا کھانا ہوتا ہے جو ہم کھایا ہوتا ہے تو اس حالت میں میں ریکمنڈ کروں گا کہ اپ پیپسی جو ہے کیا کریں لیکن اگر خالی مائدہ ہو اور معدے میں کوئی بوجھ نہ ہو اپ کو ایسی جو ہے فن کے لئے وہ پیپسی جو ہے پیتے تو میں اپ کو ریکمنڈ کروں گا کہ نہ پیجئے لیکن وہ سچویشن پہ ڈیفنڈ کرتا ہے پینا بھی چاہیے یا نہیں بھی پینا چاہیے وہ اپ کو سچویشن پہ اور اپ پے مناسب ہے کہ اپ جو ہے وہ کیا کریں,Transcribed,43.84,130,0
54.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں لیس کا ایک شارٹ سا ریویو دوں گا تو لیز جو ہے بیسیکلی لے تھے بہت اچھا برانڈ ہے اور ان کی چپسی بہت اچھے ہوتے ہیں بٹ اور تو پیسج اف ٹائم ان کی جو ہے کوانٹیٹی ود دا پرائس اف وتھ پرائز مطلب پرائز ٹو کوانٹیٹی ریشو بہت کم ہو رہا ہے یعنی پرائس بہت زیادہ ہو رہی ہے اور کوانٹیٹی جو ہے وہ بہت لیس ہو رہی ہے تو اس لیے جو ہے لیز جو ہے اس کو میں کہوں گا کہ ابھی کے ٹائم پر جو ہے اس کو میں ایک طرح سے نیوٹرل ریٹ کروں,Transcribed,34.75,109,0
55.wav,وعلیکم میرا نام محمد حسین جہانگیر ہے اور میں اج اس پروڈکٹ ریویو کرنے جا رہا ہوں وہ ہے لسٹ تو لے اکثر لوگ کے بارے میں نہیں ہے کچھ لوگ جو ہیں وہ لیز کو اچھا کنسیڈر ہوئے تھے کچھ نہیں بھی کرتی ہے اکثر اچھا کنسیڈر مطلب پی جانے کے بعد مسئلہ بھی میں کہہ سکتا ہوں کہ لوگ موویز کے دوران دیکھتے ہیں اکثر بات باہر دس نہیں ہو سکتی ہے بہت ساری تھینک یو,Transcribed,29.08,78,0
59.wav,السلام علیکم ایوری ون میرا نام محمد سمی جہانی ہے راجس کوارٹر کا ریویو ہے وہ ہے تو سیون اپ کے بارے میں میرا کوئی اتنا اچھا ائیڈیا نہیں میرا ایکس ایکسپیرینس تیرا کیوں کہ سیون اپ جو ہے ٹیسٹ پرائس جو ہے وہ اچھی نہیں ہے اور مطلب یہ بہت سے ان ہجری چیزوں میں ا سکتی ہے اور یہ مطلب باڈی میں بول کے ان مطلب,Transcribed,28.48,68,2
61.wav,تو لسٹ کے بارے میں میرا نہیں خیال کہ یہ لوگوں کو کھانا چاہیے کیونکہ اج کل اپ کو دیکھا جائے کیونکہ بہت سی بیماریاں جو ہوتی ہیں وہ لیٹس اپ کا معدہ خراب ہو جائے اپ کی طبیعت وغیرہ,Transcribed,24.23,40,2
68.wav,السلام علیکم اج ہم لیز مصالحہ چیف کی تفصیل سے گفتگو کرنے جارہے ہیں اس ویڈیو میں انگریز مسالہ چپس کی تاریخ پر بات کریں گے تو چلیے شروع کرتے ہیں پلیز مثالیں چیپس ایک دم لاجواب ہیں ان کا مصالحے دار اور چٹپٹا ذائقہ ان کو سب سے بہتر بناتا ہے جب اپ ان کو کھاتے ہیں تو ان کا کرسپی ٹیکسچر اور مزے دار ذائقہ اپ کو بے شمار خوشی دیتا ہے لیز مسالہ سے اسنیکس کی ایک اسنیکس کے لئے ایک الہ انتخاب ہے جن کا لفظ اپ اپنے گھر والوں اور دوستوں کے ساتھ لے سکتے ہیں ان کا معیار اور تازگی انہیں اور بھی بہتر بناتے ہیں پلیز مثالہ چپس مزے دار ذائقہ کے ساتھ زندگی کو رنگین مناتے ہیں,Transcribed,45.48,125,1
69.wav,السلام علیکم میں اج اپ کو پیپسی کے بارے میں بتاؤں گی تب سے کی خامیاں میں اپ کو بتاتی ہوں کہ مجھے الگ سے پسند نہیں ہے تو اس وجہ سے تبصرے کی وجہ سے اج کل کے جو جنریشن لائن چھوٹے بچے ہیں ان کو بہت پسند ہے مگر یہ نہیں پتا کہ ان کے لیے فائدے مند نہیں ہے یہ جو لوگ پیتے ہیں ان کی ہڈیاں کمزور ہو جاتی ہے ایسے کیمیکلز ملائے ہوتے ہیں جو اپ کی ہڈیوں کو کمزور بنا لیتا ہے چھوٹے بچوں کو تو بالکل بھی نہیں پینی چاہیے اور تمہارے لئے ہونی چاہیے مجھے نہیں لگتا کہ پیپسی میں پینی چاہیے کیونکہ وہ ہمارے لئے ہماری صحت کے لیے اچھی نہیں ہے,Transcribed,40.75,121,2
72.wav,السلام علیکم میرا نام افرین صدیق ہے اور میں اج اپ کو لیز کے بارے میں بتاؤں گی میں لیز بہت شوق سے کھاتی ہوں اور مجھے بہت پسند ہے جب بھی ہم یہ گھر والے اور ہم مووی دیکھنے لگ جاتے دیکھنے لگے لگتے ہیں تو ہم ساتھ لیز کا پیکج وغیرہ اور ساتھ لے لیتے ہیں تو ہم بہت انجوائے کرتے ہیں لیز کی خاصیت ہے کہ وہ بالکل حارث المون سے بنا ہوتا ہے اور فیکٹری میں جو بناتے ہیں پیکنگ میں بہت اچھی لگتی ہے تو پلے,Transcribed,34.77,91,1
74.wav,السلام علیکم اچھا مشروم ہے اس کو مختلف تقریبات میں رکھا جاتا ہے اس کی قیمت بھی مناسب ہے اور اگر اس کو اپ ٹھنڈا کر کے پیئیں تو اس کو پینے کا اور بھی لطیفہ,Transcribed,17.15,36,1
83.wav,اب میں اپ کو بتاؤں گا کہ لیس کے منفی اثرات کیا ہیں پہلے پہلی بات تو یہ ہے کہ انہوں نے اس کی کوالٹی بہت کم کر دی ہے دوسرا انہوں نے اس کی کوالٹی میں بھی کافی زیادہ چینجز کی ہیں اور تو اور انہوں نے جو ہے اس کی پرائس رینج میں جو ہے کافی چینجز کیے ہیں جس کی وجہ سے ان کا ان کی جو مارکیٹ ہے وہ کافی ایفیکٹ ہوئی ہے دوسرا اس کے انسان کی صحت پر بھی کافی منفی اثرات ہیں سب سے پہلا صرف یہ ہے کہ ہم جب ریس کھاتے ہیں تو ہمیں دیور کی بھوک لگتی ہے اور ہماری جو ریکوائرمنٹ ہے کھانے کی وہ پوری نہیں ہوتی اور ہم بار بار یہ لیس کرتے ہیں اور یہ ہماری صحت کے لیے بہت نقصان نہیں ہے,Transcribed,39.0,137,2
