Video Name,Frame Path,Time in Seconds,Key_Frame
46,/content/drive/MyDrive/work2/Frames/46/46_frame_0.jpg,0,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_1.jpg,1,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_2.jpg,2,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_3.jpg,3,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_4.jpg,4,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_5.jpg,5,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_6.jpg,6,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_7.jpg,7,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_8.jpg,8,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_9.jpg,9,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_10.jpg,10,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_11.jpg,11,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_12.jpg,12,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_13.jpg,13,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_14.jpg,14,N
46,/content/drive/MyDrive/work2/Frames/46/46_frame_15.jpg,15,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_0.jpg,0,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_1.jpg,1,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_2.jpg,2,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_3.jpg,3,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_4.jpg,4,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_5.jpg,5,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_6.jpg,6,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_7.jpg,7,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_8.jpg,8,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_9.jpg,9,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_10.jpg,10,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_11.jpg,11,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_12.jpg,12,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_13.jpg,13,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_14.jpg,14,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_15.jpg,15,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_16.jpg,16,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_17.jpg,17,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_18.jpg,18,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_19.jpg,19,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_20.jpg,20,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_21.jpg,21,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_22.jpg,22,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_23.jpg,23,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_24.jpg,24,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_25.jpg,25,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_26.jpg,26,N
35,/content/drive/MyDrive/work2/Frames/35/35_frame_27.jpg,27,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_28.jpg,28,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_29.jpg,29,N
25,/content/drive/MyDrive/work2/Frames/25/25_frame_0.jpg,0,N
25,/content/drive/MyDrive/work2/Frames/25/25_frame_1.jpg,1,Y
25,/content/drive/MyDrive/work2/Frames/25/25_frame_2.jpg,2,N
25,/content/drive/MyDrive/work2/Frames/25/25_frame_3.jpg,3,N
25,/content/drive/MyDrive/work2/Frames/25/25_frame_4.jpg,4,N
25,/content/drive/MyDrive/work2/Frames/25/25_frame_5.jpg,5,N
25,/content/drive/MyDrive/work2/Frames/25/25_frame_6.jpg,6,Y
25,/content/drive/MyDrive/work2/Frames/25/25_frame_7.jpg,7,N
25,/content/drive/MyDrive/work2/Frames/25/25_frame_8.jpg,8,N
25,/content/drive/MyDrive/work2/Frames/25/25_frame_9.jpg,9,N
25,/content/drive/MyDrive/work2/Frames/25/25_frame_10.jpg,10,N
