video_name,time_period,frame_path,dominant_emotion
46.mp4,0,/content/gdrive/MyDrive/work2/frame_files/46/46@second_0.jpg,neutral
46.mp4,0,/content/gdrive/MyDrive/work2/frame_files/46/46@second_0.jpg,neutral
46.mp4,1,/content/gdrive/MyDrive/work2/frame_files/46/46@second_1.jpg,neutral
46.mp4,2,/content/gdrive/MyDrive/work2/frame_files/46/46@second_2.jpg,surprise
46.mp4,3,/content/gdrive/MyDrive/work2/frame_files/46/46@second_3.jpg,neutral
46.mp4,4,/content/gdrive/MyDrive/work2/frame_files/46/46@second_4.jpg,neutral
46.mp4,5,/content/gdrive/MyDrive/work2/frame_files/46/46@second_5.jpg,surprise
46.mp4,6,/content/gdrive/MyDrive/work2/frame_files/46/46@second_6.jpg,neutral
46.mp4,7,/content/gdrive/MyDrive/work2/frame_files/46/46@second_7.jpg,neutral
46.mp4,8,/content/gdrive/MyDrive/work2/frame_files/46/46@second_8.jpg,neutral
46.mp4,9,/content/gdrive/MyDrive/work2/frame_files/46/46@second_9.jpg,neutral
46.mp4,10,/content/gdrive/MyDrive/work2/frame_files/46/46@second_10.jpg,neutral
46.mp4,11,/content/gdrive/MyDrive/work2/frame_files/46/46@second_11.jpg,happy
46.mp4,12,/content/gdrive/MyDrive/work2/frame_files/46/46@second_12.jpg,surprise
46.mp4,13,/content/gdrive/MyDrive/work2/frame_files/46/46@second_13.jpg,happy
46.mp4,14,/content/gdrive/MyDrive/work2/frame_files/46/46@second_14.jpg,happy
46.mp4,15,/content/gdrive/MyDrive/work2/frame_files/46/46@second_15.jpg,neutral
35.mp4,0,/content/gdrive/MyDrive/work2/frame_files/35/35@second_0.jpg,neutral
35.mp4,0,/content/gdrive/MyDrive/work2/frame_files/35/35@second_0.jpg,neutral
35.mp4,1,/content/gdrive/MyDrive/work2/frame_files/35/35@second_1.jpg,neutral
35.mp4,2,/content/gdrive/MyDrive/work2/frame_files/35/35@second_2.jpg,neutral
35.mp4,3,/content/gdrive/MyDrive/work2/frame_files/35/35@second_3.jpg,neutral
35.mp4,4,/content/gdrive/MyDrive/work2/frame_files/35/35@second_4.jpg,neutral
35.mp4,5,/content/gdrive/MyDrive/work2/frame_files/35/35@second_5.jpg,neutral
35.mp4,6,/content/gdrive/MyDrive/work2/frame_files/35/35@second_6.jpg,neutral
35.mp4,7,/content/gdrive/MyDrive/work2/frame_files/35/35@second_7.jpg,neutral
35.mp4,8,/content/gdrive/MyDrive/work2/frame_files/35/35@second_8.jpg,neutral
35.mp4,9,/content/gdrive/MyDrive/work2/frame_files/35/35@second_9.jpg,sad
35.mp4,10,/content/gdrive/MyDrive/work2/frame_files/35/35@second_10.jpg,neutral
35.mp4,11,/content/gdrive/MyDrive/work2/frame_files/35/35@second_11.jpg,neutral
35.mp4,12,/content/gdrive/MyDrive/work2/frame_files/35/35@second_12.jpg,neutral
35.mp4,13,/content/gdrive/MyDrive/work2/frame_files/35/35@second_13.jpg,neutral
35.mp4,14,/content/gdrive/MyDrive/work2/frame_files/35/35@second_14.jpg,neutral
35.mp4,15,/content/gdrive/MyDrive/work2/frame_files/35/35@second_15.jpg,sad
35.mp4,16,/content/gdrive/MyDrive/work2/frame_files/35/35@second_16.jpg,neutral
35.mp4,17,/content/gdrive/MyDrive/work2/frame_files/35/35@second_17.jpg,neutral
