video_name,time_period,frame_path,age,gender,race,emotion
46.mp4,0,/content/gdrive/MyDrive/work2/frame_files/46/46@second_0.jpg,25,"{'Woman': 0.7731988560408354, 'Man': 99.22680258750916}",latino hispanic,neutral
46.mp4,0,/content/gdrive/MyDrive/work2/frame_files/46/46@second_0.jpg,25,"{'Woman': 0.7731988560408354, 'Man': 99.22680258750916}",latino hispanic,neutral
46.mp4,1,/content/gdrive/MyDrive/work2/frame_files/46/46@second_1.jpg,31,"{'Woman': 9.443515539169312, 'Man': 90.55647850036621}",latino hispanic,sad
46.mp4,2,/content/gdrive/MyDrive/work2/frame_files/46/46@second_2.jpg,24,"{'Woman': 1.1598313227295876, 'Man': 98.8401710987091}",latino hispanic,neutral
46.mp4,3,/content/gdrive/MyDrive/work2/frame_files/46/46@second_3.jpg,26,"{'Woman': 0.894609373062849, 'Man': 99.10538792610168}",indian,neutral
46.mp4,4,/content/gdrive/MyDrive/work2/frame_files/46/46@second_4.jpg,28,"{'Woman': 2.506537362933159, 'Man': 97.49346971511841}",latino hispanic,neutral
46.mp4,5,/content/gdrive/MyDrive/work2/frame_files/46/46@second_5.jpg,25,"{'Woman': 1.279674656689167, 'Man': 98.7203299999237}",indian,sad
46.mp4,6,/content/gdrive/MyDrive/work2/frame_files/46/46@second_6.jpg,27,"{'Woman': 3.6245740950107574, 'Man': 96.37542963027954}",latino hispanic,neutral
46.mp4,7,/content/gdrive/MyDrive/work2/frame_files/46/46@second_7.jpg,22,"{'Woman': 0.7540397346019745, 'Man': 99.24595952033997}",latino hispanic,neutral
46.mp4,8,/content/gdrive/MyDrive/work2/frame_files/46/46@second_8.jpg,21,"{'Woman': 0.8432671427726746, 'Man': 99.1567313671112}",latino hispanic,neutral
46.mp4,9,/content/gdrive/MyDrive/work2/frame_files/46/46@second_9.jpg,30,"{'Woman': 11.048439145088196, 'Man': 88.95155787467957}",latino hispanic,neutral
46.mp4,10,/content/gdrive/MyDrive/work2/frame_files/46/46@second_10.jpg,21,"{'Woman': 0.5742620676755905, 'Man': 99.42573308944702}",latino hispanic,neutral
46.mp4,11,/content/gdrive/MyDrive/work2/frame_files/46/46@second_11.jpg,20,"{'Woman': 1.3828807510435581, 'Man': 98.61711859703064}",latino hispanic,surprise
46.mp4,12,/content/gdrive/MyDrive/work2/frame_files/46/46@second_12.jpg,21,"{'Woman': 0.9912625886499882, 'Man': 99.00873303413391}",latino hispanic,sad
46.mp4,13,/content/gdrive/MyDrive/work2/frame_files/46/46@second_13.jpg,24,"{'Woman': 0.16697801183909178, 'Man': 99.83301758766174}",latino hispanic,happy
46.mp4,14,/content/gdrive/MyDrive/work2/frame_files/46/46@second_14.jpg,26,"{'Woman': 1.431876141577959, 'Man': 98.56812953948975}",latino hispanic,neutral
46.mp4,15,/content/gdrive/MyDrive/work2/frame_files/46/46@second_15.jpg,23,"{'Woman': 0.2895447891205549, 'Man': 99.71045851707458}",latino hispanic,neutral
35.mp4,0,/content/gdrive/MyDrive/work2/frame_files/35/35@second_0.jpg,25,"{'Woman': 0.0030923285521566868, 'Man': 99.99691247940063}",middle eastern,sad
35.mp4,0,/content/gdrive/MyDrive/work2/frame_files/35/35@second_0.jpg,25,"{'Woman': 0.0030923285521566868, 'Man': 99.99691247940063}",middle eastern,sad
35.mp4,1,/content/gdrive/MyDrive/work2/frame_files/35/35@second_1.jpg,27,"{'Woman': 0.014407536946237087, 'Man': 99.98558759689331}",middle eastern,sad
35.mp4,2,/content/gdrive/MyDrive/work2/frame_files/35/35@second_2.jpg,25,"{'Woman': 0.02021331019932404, 'Man': 99.97978806495667}",latino hispanic,sad
35.mp4,3,/content/gdrive/MyDrive/work2/frame_files/35/35@second_3.jpg,25,"{'Woman': 0.011364023521309718, 'Man': 99.98863935470581}",latino hispanic,sad
35.mp4,4,/content/gdrive/MyDrive/work2/frame_files/35/35@second_4.jpg,24,"{'Woman': 0.0014809796994086355, 'Man': 99.99852180480957}",middle eastern,sad
35.mp4,5,/content/gdrive/MyDrive/work2/frame_files/35/35@second_5.jpg,24,"{'Woman': 0.0022804455511504784, 'Man': 99.99772310256958}",latino hispanic,neutral
35.mp4,6,/content/gdrive/MyDrive/work2/frame_files/35/35@second_6.jpg,25,"{'Woman': 0.002565426802902948, 'Man': 99.99743700027466}",middle eastern,sad
35.mp4,7,/content/gdrive/MyDrive/work2/frame_files/35/35@second_7.jpg,27,"{'Woman': 0.0027631651391857304, 'Man': 99.99723434448242}",middle eastern,neutral
35.mp4,8,/content/gdrive/MyDrive/work2/frame_files/35/35@second_8.jpg,24,"{'Woman': 0.007451124110957608, 'Man': 99.99254941940308}",middle eastern,neutral
35.mp4,9,/content/gdrive/MyDrive/work2/frame_files/35/35@second_9.jpg,26,"{'Woman': 0.002038411003013607, 'Man': 99.99796152114868}",middle eastern,neutral
35.mp4,10,/content/gdrive/MyDrive/work2/frame_files/35/35@second_10.jpg,24,"{'Woman': 0.010602702241158113, 'Man': 99.98939037322998}",middle eastern,neutral
35.mp4,11,/content/gdrive/MyDrive/work2/frame_files/35/35@second_11.jpg,27,"{'Woman': 0.02105545427184552, 'Man': 99.97894167900085}",middle eastern,neutral
35.mp4,12,/content/gdrive/MyDrive/work2/frame_files/35/35@second_12.jpg,24,"{'Woman': 0.0015836476450203918, 'Man': 99.99841451644897}",middle eastern,neutral
35.mp4,13,/content/gdrive/MyDrive/work2/frame_files/35/35@second_13.jpg,25,"{'Woman': 0.0016464195141452365, 'Man': 99.9983549118042}",latino hispanic,neutral
35.mp4,14,/content/gdrive/MyDrive/work2/frame_files/35/35@second_14.jpg,23,"{'Woman': 0.0009219460480380803, 'Man': 99.99908208847046}",middle eastern,neutral
35.mp4,15,/content/gdrive/MyDrive/work2/frame_files/35/35@second_15.jpg,25,"{'Woman': 0.002250396391900722, 'Man': 99.99774694442749}",middle eastern,neutral
35.mp4,16,/content/gdrive/MyDrive/work2/frame_files/35/35@second_16.jpg,24,"{'Woman': 0.0009141556802205741, 'Man': 99.99908208847046}",middle eastern,neutral
35.mp4,17,/content/gdrive/MyDrive/work2/frame_files/35/35@second_17.jpg,25,"{'Woman': 0.00160148847498931, 'Man': 99.99840259552002}",middle eastern,neutral
35.mp4,18,/content/gdrive/MyDrive/work2/frame_files/35/35@second_18.jpg,26,"{'Woman': 0.0017660990124568343, 'Man': 99.99823570251465}",middle eastern,neutral
35.mp4,19,/content/gdrive/MyDrive/work2/frame_files/35/35@second_19.jpg,24,"{'Woman': 0.0010503105841053184, 'Man': 99.99895095825195}",middle eastern,neutral
35.mp4,20,/content/gdrive/MyDrive/work2/frame_files/35/35@second_20.jpg,25,"{'Woman': 0.0017090062101488002, 'Man': 99.99829530715942}",middle eastern,neutral
35.mp4,21,/content/gdrive/MyDrive/work2/frame_files/35/35@second_21.jpg,25,"{'Woman': 0.0008091845302260481, 'Man': 99.99918937683105}",middle eastern,neutral
35.mp4,22,/content/gdrive/MyDrive/work2/frame_files/35/35@second_22.jpg,24,"{'Woman': 0.0014779631783312652, 'Man': 99.99852180480957}",middle eastern,neutral
35.mp4,23,/content/gdrive/MyDrive/work2/frame_files/35/35@second_23.jpg,25,"{'Woman': 0.04036393074784428, 'Man': 99.95964169502258}",indian,sad
