Video Name,Frame Path,Time in Seconds,Key_Frame,Positive Sentiment,Negative Sentiment,key_frame
46,/content/drive/MyDrive/work2/Frames/46/46_frame_0.jpg,0,N,,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_1.jpg,1,N,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_2.jpg,2,N,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_3.jpg,3,Y,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_4.jpg,4,N,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_5.jpg,5,N,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_6.jpg,6,N,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_7.jpg,7,N,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_8.jpg,8,N,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_9.jpg,9,N,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_10.jpg,10,N,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_11.jpg,11,N,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_12.jpg,12,N,1,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_13.jpg,13,Y,0,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_14.jpg,14,N,1,0,Y
46,/content/drive/MyDrive/work2/Frames/46/46_frame_15.jpg,15,Y,1,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_0.jpg,0,N,,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_1.jpg,1,Y,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_2.jpg,2,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_3.jpg,3,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_4.jpg,4,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_5.jpg,5,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_6.jpg,6,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_7.jpg,7,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_8.jpg,8,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_9.jpg,9,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_10.jpg,10,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_11.jpg,11,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_12.jpg,12,Y,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_13.jpg,13,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_14.jpg,14,Y,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_15.jpg,15,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_16.jpg,16,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_17.jpg,17,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_18.jpg,18,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_19.jpg,19,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_20.jpg,20,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_21.jpg,21,Y,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_22.jpg,22,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_23.jpg,23,N,9,9,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_24.jpg,24,N,0,0,Y
35,/content/drive/MyDrive/work2/Frames/35/35_frame_25.jpg,25,N,0,0,Y
